sep=;
Test Index;Monster Tier;Party config;Party Strength;Max HP lost;HP lost;Ranger killed;Cleric killed;Knight killed;Ranger attack;Ranger HP;Ranger Max HP lost;Ranger HP lost;Cleric attack;Cleric HP;Cleric Max HP lost;Cleric HP lost;Knight attack;Knight HP;Knight Max HP lost;Knight HP lost;Minion Count;Brute Count;Brute elite Count;Brute boss Count;Leader Count;Leader elite Count;Leader boss Count;Lurker Count;Lurker elite Count;Lurker boss Count;Sniper Count;Sniper elite  Count;Sniper boss Count
17;1;Cleric Powerups only 4;12105;0.4;1.205128;0;0;0;30;14;0;0;58;195;0;0.2051282;15;25;0.4;1;0;1;0;0;0;0;0;0;0;0;1;0;0
18;1;Knight Powerups only 4;14843;1;1.536433;1;0;0;30;4;1;1;10;107;0;0.3738318;111;123;0;0.1626016;0;0;0;0;0;0;0;0;0;0;2;0;0
19;1;Balanced provider tier 4;21359;0;0;0;0;0;78;130;0;0;26;79;0;0;47;195;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
20;1;Random provider tier 4;23213;0;0;0;0;0;90;130;0;0;23;233;0;0;34;181;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
21;1;No powerups;3395;1;1.545564;1;0;0;30;5;1;1;10;125;0;0.32;15;133;0;0.2255639;0;0;0;0;0;1;0;0;0;0;0;0;0
22;1;Ranger Powerups only 1;10040;0;0.1818182;0;0;0;66;110;0;0.1818182;10;125;0;0;15;102;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
23;1;Cleric Powerups only 1;4954;0;0.384;0;0;0;30;13;0;0;22;37;0;0;15;250;0;0.384;0;0;0;0;0;0;0;0;0;0;0;1;0
24;1;Knight Powerups only 1;18310;0;0.9805825;0;0;0;30;17;0;0;10;103;0;0.9805825;39;430;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
25;1;Balanced provider tier 1;9425;0;0.5797101;0;0;0;42;69;0;0.5797101;14;44;0;0;23;257;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
26;1;Random provider tier 1;3718;0.4189189;1;0;0;0;54;29;0;0;23;74;0.4189189;1;10;45;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
27;1;Ranger Powerups only 2;21640;0;0;0;0;0;102;170;0;0;10;55;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
28;1;Cleric Powerups only 2;9729;0;0.8617886;0;0;0;30;45;0;0.6666667;34;156;0;0;15;205;0;0.1951219;0;0;0;0;0;0;0;1;0;0;1;0;0
29;1;Knight Powerups only 2;23798;0;0.2161798;0;0;0;30;4;0;0;10;125;0;0.16;63;356;0;0.05617978;0;1;0;0;0;0;0;0;0;0;1;0;0
30;1;Balanced provider tier 2;16798;1;1.054054;0;1;0;54;90;0;0;18;26;1;1;31;370;0;0.05405406;0;0;1;0;0;0;0;0;0;0;0;0;0
31;1;Random provider tier 2;20260;0;0;0;0;0;42;41;0;0;47;370;0;0;14;82;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32;1;Ranger Powerups only 3;25551;0;0.2201258;0;0;0;138;162;0;0;10;81;0;0;15;159;0;0.2201258;0;0;0;0;0;0;0;0;0;0;0;1;0
33;1;Cleric Powerups only 3;12033;0;0;0;0;0;30;8;0;0;46;213;0;0;15;133;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
34;1;Knight Powerups only 3;48363;0;0;0;0;0;30;47;0;0;10;6;0;0;87;539;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
35;1;Balanced provider tier 3;16047;0;0.3773585;0;0;0;66;53;0;0.3773585;22;207;0;0;39;205;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
36;1;Random provider tier 3;20039;0;0.08064516;0;0;0;54;45;0;0;55;239;0;0;18;248;0;0.08064516;0;0;0;0;0;0;0;1;0;0;1;0;0
37;1;Ranger Powerups only 4;21042;0;0.2040816;0;0;0;174;98;0;0.2040816;10;66;0;0;15;222;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
38;1;Cleric Powerups only 4;7520;1;1.181818;0;0;1;30;27;0;0;58;110;0;0.1818182;15;22;1;1;4;0;0;0;0;0;0;0;0;0;1;0;0
39;1;Knight Powerups only 4;91109;0;0;0;0;0;30;2;0;0;10;125;0;0;111;809;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
40;1;Balanced provider tier 4;39852;0;0;0;0;0;78;130;0;0;26;257;0;0;47;490;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
41;1;Random provider tier 4;16104;0;0;0;0;0;66;79;0;0;39;70;0;0;34;240;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
42;1;No powerups;2155;1;2.071177;1;0;0;30;8;1;1;10;43;0;0.4651163;15;99;0;0.6060606;0;0;0;0;0;1;0;0;0;0;0;0;0
43;1;Ranger Powerups only 1;8846;0;0;0;0;0;66;76;0;0;10;8;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
44;1;Cleric Powerups only 1;10280;0;0.1709402;0;0;0;30;46;0;0;22;245;0;0;15;234;0;0.1709402;4;0;0;0;0;0;0;1;0;0;0;0;0
45;1;Knight Powerups only 1;18550;0.25;1;0;0;0;30;50;0;0;10;28;0.25;1;39;430;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
46;1;Balanced provider tier 1;6803;0;0;0;0;0;42;41;0;0;14;82;0;0;23;171;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
47;1;Random provider tier 1;10285;0;0.8064516;0;0;0;30;62;0;0.8064516;31;237;0;0;14;77;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48;1;Ranger Powerups only 2;19420;0;0.3868778;0;0;0;102;170;0;0.1176471;10;13;0;0;15;130;0;0.2692308;4;0;0;0;0;0;0;0;0;0;1;0;0
49;1;Cleric Powerups only 2;4342;0;0.5677966;0;0;0;30;37;0;0;34;43;0;0;15;118;0;0.5677966;0;1;0;0;0;0;0;0;0;0;1;0;0
50;1;Knight Powerups only 2;38690;0;0.06557377;0;0;0;30;5;0;0;10;11;0;0;63;610;0;0.06557377;0;0;1;0;0;0;0;0;0;0;0;0;0
51;1;Balanced provider tier 2;15244;0;0.2702703;0;0;0;54;74;0;0.2702703;18;153;0;0;31;274;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52;1;Random provider tier 2;9210;0;0.2816902;0;0;0;54;78;0;0;31;120;0;0;18;71;0;0.2816902;0;0;0;0;0;1;0;0;0;0;0;0;0
53;1;Ranger Powerups only 3;13687;0;0;0;0;0;138;64;0;0;10;115;0;0;15;247;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
54;1;Cleric Powerups only 3;9855;0.7647059;1.389366;0;0;0;30;17;0.7647059;1;46;150;0;0.2666667;15;163;0;0.1226994;0;0;0;0;0;0;0;1;0;0;1;0;0
55;1;Knight Powerups only 3;69560;0;0.1012658;0;0;0;30;4;0;0;10;71;0;0;87;790;0;0.1012658;8;0;0;0;0;0;0;0;0;0;0;0;0
56;1;Balanced provider tier 3;18599;0;0.3846154;0;0;0;66;52;0;0.3846154;22;170;0;0;39;293;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
57;1;Random provider tier 3;18585;0;0.3949618;0;0;0;54;130;0;0.1538462;55;117;0;0.1709402;18;285;0;0.07017544;0;0;0;0;0;0;0;1;0;0;1;0;0
58;1;Ranger Powerups only 4;55365;0;0.06896552;0;0;0;174;290;0;0.06896552;10;120;0;0;15;247;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
59;1;Cleric Powerups only 4;15492;0.5384616;1;0;0;0;30;26;0.5384616;1;58;189;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
60;1;Knight Powerups only 4;24499;0.1111111;1;0;0;0;30;18;0.1111111;1;10;76;0;0;111;209;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
61;1;Balanced provider tier 4;24602;0;0.7999191;0;0;0;78;71;0;0.7042254;26;209;0;0.09569378;47;290;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
62;1;Random provider tier 4;24723;0;0.3888889;0;0;0;54;68;0;0;63;297;0;0;26;90;0;0.3888889;0;1;0;0;0;0;0;0;0;0;1;0;0
63;1;No powerups;4850;0;0.8;0;0;0;30;20;0;0;10;50;0;0.4;15;250;0;0.4;8;0;0;0;0;0;0;0;0;0;0;0;0
64;1;Ranger Powerups only 1;11960;0;0.7410277;0;0;0;66;110;0;0.3636364;10;125;0;0.16;15;230;0;0.2173913;4;0;0;0;0;0;0;0;0;0;1;0;0
65;1;Cleric Powerups only 1;4722;0;0.05747126;0;0;0;30;33;0;0;22;51;0;0;15;174;0;0.05747126;0;1;0;0;0;0;0;1;0;0;0;0;0
66;1;Knight Powerups only 1;11743;0;0.877821;0;0;0;30;50;0;0.8;10;22;0;0;39;257;0;0.07782101;0;0;0;0;0;0;0;0;0;0;2;0;0
67;1;Balanced provider tier 1;6411;0;0.3478261;0;0;0;42;70;0;0;14;59;0;0;23;115;0;0.3478261;0;0;0;0;0;1;0;0;0;0;0;0;0
68;1;Random provider tier 1;3851;0;0.8571429;0;0;0;30;70;0;0.8571429;31;19;0;0;14;83;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
69;1;Ranger Powerups only 2;7956;0;0;0;0;0;102;38;0;0;10;33;0;0;15;250;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
70;1;Cleric Powerups only 2;12237;0;0.1255411;0;0;0;30;34;0;0;34;228;0;0;15;231;0;0.1255411;0;1;0;0;0;0;0;1;0;0;0;0;0
71;1;Knight Powerups only 2;29140;0;0;0;0;0;30;6;0;0;10;124;0;0;63;440;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
72;1;Balanced provider tier 2;10102;0;0.9;0;0;0;54;85;0;0;18;10;0;0.9;31;172;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0
73;1;Random provider tier 2;5200;0;0.5128205;0;0;0;54;50;0;0;31;58;0;0;18;39;0;0.5128205;0;0;1;0;0;0;0;0;0;0;0;0;0
74;1;Ranger Powerups only 3;22540;0;0;0;0;0;138;135;0;0;10;16;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
75;1;Cleric Powerups only 3;25460;0;0.1485149;0;0;0;30;4;0;0;46;485;0;0;15;202;0;0.1485149;0;0;0;0;0;1;0;0;0;0;0;0;0
76;1;Knight Powerups only 3;60142;0;0.3490477;0;0;0;30;49;0;0;10;73;0;0.2739726;87;666;0;0.07507508;0;1;0;0;0;0;0;0;0;0;1;0;0
77;1;Balanced provider tier 3;18164;0;0.2739726;0;0;0;66;73;0;0.2739726;22;245;0;0;39;204;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
78;1;Random provider tier 3;33256;0;0;0;0;0;54;12;0;0;47;610;0;0;22;179;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
79;1;Ranger Powerups only 4;44654;0;0;0;0;0;174;241;0;0;10;125;0;0;15;98;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
80;1;Cleric Powerups only 4;40340;0;0.4;0;0;0;30;50;0;0.4;58;605;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
81;1;Knight Powerups only 4;70995;0;0;0;0;0;30;50;0;0;10;123;0;0;111;615;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
82;1;Balanced provider tier 4;27168;0;0.3333333;0;0;0;78;60;0;0.3333333;26;84;0;0;47;432;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
83;1;Random provider tier 4;16733;0;0.5;0;0;0;78;40;0;0.5;47;231;0;0;26;106;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
84;1;No powerups;5910;0;0.5905175;0;0;0;30;33;0;0.3030303;10;117;0;0.1794872;15;250;0;0.108;4;1;0;0;0;0;0;0;0;0;0;0;0
85;1;Ranger Powerups only 1;3613;0;0.5263158;0;0;0;66;38;0;0.5263158;10;16;0;0;15;63;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
86;1;Cleric Powerups only 1;9890;0;0.1208163;0;0;0;30;25;0;0;22;245;0;0.04081633;15;250;0;0.08;4;1;0;0;0;0;0;0;0;0;0;0;0
87;1;Knight Powerups only 1;9631;1;1.901945;1;0;0;30;5;1;1;10;55;0;0.7272727;39;229;0;0.1746725;0;1;0;0;0;0;0;0;0;0;1;0;0
88;1;Balanced provider tier 1;11792;0;0.450007;0;0;0;42;56;0;0.3571429;14;165;0;0.06060606;23;310;0;0.03225806;0;1;0;0;0;0;0;0;0;0;1;0;0
89;1;Random provider tier 1;10155;0;0.2298851;0;0;0;66;70;0;0;15;311;0;0;10;87;0;0.2298851;4;0;0;0;0;0;0;1;0;0;0;0;0
90;1;Ranger Powerups only 2;15231;0;0.2627355;0;0;0;102;133;0;0.1503759;10;33;0;0;15;89;0;0.1123596;0;1;0;0;0;0;0;0;0;0;1;0;0
91;1;Cleric Powerups only 2;15290;1;1.109589;1;0;0;30;15;1;1;34;365;0;0.109589;15;162;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0
92;1;Knight Powerups only 2;18201;0;0;0;0;0;30;25;0;0;10;63;0;0;63;267;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
93;1;Balanced provider tier 2;13613;0;1.636604;0;0;0;54;90;0;0.6666667;18;23;0;0.8695652;31;269;0;0.1003717;0;1;0;0;0;0;0;0;0;0;1;0;0
94;1;Random provider tier 2;11974;0;0.2439024;0;0;0;66;75;0;0;31;134;0;0;14;205;0;0.2439024;4;1;0;0;0;0;0;0;0;0;0;0;0
95;1;Ranger Powerups only 3;7070;0;0.5525;0;0;0;138;30;0;0;10;125;0;0.24;15;112;0;0.3125;4;1;0;0;0;0;0;0;0;0;0;0;0
96;1;Cleric Powerups only 3;23195;1;1;0;0;1;30;19;0;0;46;485;0;0;15;21;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
97;1;Knight Powerups only 3;29864;0;0;0;0;0;30;43;0;0;10;56;0;0;87;322;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
98;1;Balanced provider tier 3;26582;0;0;0;0;0;66;110;0;0;22;116;0;0;39;430;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99;1;Random provider tier 3;24735;0;0;0;0;0;66;55;0;0;47;351;0;0;18;256;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
100;1;Ranger Powerups only 4;47456;0;0;0;0;0;174;244;0;0;10;125;0;0;15;250;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
101;1;Cleric Powerups only 4;14254;0.1428571;1;0;0;0;30;35;0.1428571;1;58;163;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
102;1;Knight Powerups only 4;85826;0;0.9090909;0;0;0;30;22;0;0.9090909;10;125;0;0;111;756;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
103;1;Balanced provider tier 4;38292;0;0;0;0;0;78;130;0;0;26;197;0;0;47;490;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
104;1;Random provider tier 4;42814;0.07142857;1;0;0;0;54;70;0;0;47;790;0;0;34;56;0.07142857;1;0;0;1;0;0;0;0;0;0;0;0;0;0
105;1;No powerups;4985;0;0.373444;0;0;0;30;4;0;0;10;125;0;0;15;241;0;0.373444;0;0;1;0;0;0;0;0;0;0;0;0;0
106;1;Ranger Powerups only 1;6601;0;0.1217974;0;0;0;66;26;0;0;10;124;0;0.08064516;15;243;0;0.04115226;0;1;0;0;0;0;0;1;0;0;0;0;0
107;1;Cleric Powerups only 1;8690;0;0.0625;0;0;0;30;46;0;0;22;245;0;0;15;128;0;0.0625;0;0;0;0;0;1;0;0;0;0;0;0;0
108;1;Knight Powerups only 1;18590;0;1.090909;0;0;0;30;35;0;0.5714286;10;77;0;0.5194805;39;430;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0
109;1;Balanced provider tier 1;7622;1;1;1;0;0;42;70;1;1;14;134;0;0;23;122;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
110;1;Random provider tier 1;9265;0;0.8;0;0;0;54;50;0;0.8;15;321;0;0;14;125;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
111;1;Ranger Powerups only 2;21625;0;0.1176471;0;0;0;102;170;0;0.1176471;10;103;0;0;15;217;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
112;1;Cleric Powerups only 2;6230;1;1.150862;1;0;0;30;18;1;1;34;65;0;0;15;232;0;0.1508621;0;0;0;0;0;0;0;0;0;0;0;1;0
113;1;Knight Powerups only 2;11347;0;0;0;0;0;30;50;0;0;10;46;0;0;63;149;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
114;1;Balanced provider tier 2;13851;0;0.4444444;0;0;0;54;90;0;0.4444444;18;112;0;0;31;225;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
115;1;Random provider tier 2;17102;0.8181818;1.040816;0;0;0;42;34;0;0;31;490;0;0.04081633;22;22;0.8181818;1;4;0;0;0;0;0;0;0;0;0;1;0;0
116;1;Ranger Powerups only 3;35000;0;0.2608696;0;0;0;138;230;0;0.2608696;10;80;0;0;15;164;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
117;1;Cleric Powerups only 3;23665;0;0;0;0;0;30;30;0;0;46;475;0;0;15;61;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
118;1;Knight Powerups only 3;71390;0;0.4255319;0;0;0;30;47;0;0.4255319;10;125;0;0;87;790;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
119;1;Balanced provider tier 3;22194;0;0;0;0;0;66;62;0;0;22;174;0;0;39;366;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
120;1;Random provider tier 3;12753;0;0.4549037;0;0;0;66;47;0;0;39;107;0;0.09345794;22;249;0;0.3614458;8;0;0;0;0;0;0;0;0;0;0;0;0
121;1;Ranger Powerups only 4;33537;0;0;0;0;0;174;188;0;0;10;45;0;0;15;25;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
122;1;Cleric Powerups only 4;31949;1;1.388401;1;0;0;30;6;1;1;58;533;0;0.03752345;15;57;0;0.3508772;0;1;0;0;0;0;0;0;0;0;1;0;0
123;1;Knight Powerups only 4;52419;0;1.428571;0;0;0;30;42;0;0.4761905;10;21;0;0.952381;111;459;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
124;1;Balanced provider tier 4;15776;0;0;0;0;0;78;42;0;0;26;206;0;0;47;152;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
125;1;Random provider tier 4;15346;0.4285714;1;0;0;0;78;14;0.4285714;1;31;428;0;0;34;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
126;1;No powerups;5570;0;0.1694915;0;0;0;30;26;0;0;10;125;0;0;15;236;0;0.1694915;0;0;0;0;0;1;0;0;0;0;0;0;0
127;1;Ranger Powerups only 1;10790;0;0.1818182;0;0;0;66;110;0;0.1818182;10;125;0;0;15;152;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
128;1;Cleric Powerups only 1;7385;0.2727273;1;0;0;0;30;50;0;0;22;245;0;0;15;33;0.2727273;1;0;0;1;0;0;0;0;0;0;0;0;0;0
129;1;Knight Powerups only 1;17590;0.1111111;1.516279;0;0;0;30;18;0.1111111;1;10;28;0;0.5;39;430;0;0.01627907;0;1;0;0;0;0;0;0;0;0;1;0;0
130;1;Balanced provider tier 1;9701;0;0;0;0;0;42;40;0;0;14;131;0;0;23;269;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
131;1;Random provider tier 1;6473;0;0.08834431;0;0;0;54;30;0;0;15;177;0;0.05649718;14;157;0;0.03184713;0;1;0;0;0;0;0;1;0;0;0;0;0
132;1;Ranger Powerups only 2;8515;0.3043478;1;0;0;0;102;70;0;0;10;46;0.3043478;1;15;61;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
133;1;Cleric Powerups only 2;15920;0.6216216;1;0;0;0;30;37;0.6216216;1;34;365;0;0;15;160;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
134;1;Knight Powerups only 2;17317;0;0;0;0;0;30;50;0;0;10;13;0;0;63;249;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
135;1;Balanced provider tier 2;5068;0;0;0;0;0;54;6;0;0;18;205;0;0;31;34;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
136;1;Random provider tier 2;14983;0;0.2222222;0;0;0;66;90;0;0.2222222;31;163;0;0;14;285;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
137;1;Ranger Powerups only 3;33925;0;0;0;0;0;138;230;0;0;10;61;0;0;15;105;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
138;1;Cleric Powerups only 3;16420;1;1.142857;1;0;0;30;9;1;1;46;280;0;0.1428571;15;218;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
139;1;Knight Powerups only 3;30140;0;0.2058824;0;0;0;30;9;0;0;10;29;0;0;87;340;0;0.2058824;8;0;0;0;0;0;0;0;0;0;0;0;0
140;1;Balanced provider tier 3;15126;0;0.3225806;0;0;0;66;62;0;0.3225806;22;30;0;0;39;266;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
141;1;Random provider tier 3;35020;0;0;0;0;0;54;70;0;0;47;550;0;0;22;245;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
142;1;Ranger Powerups only 4;32014;1;1;0;1;0;174;161;0;0;10;25;1;1;15;250;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
143;1;Cleric Powerups only 4;28262;0;0.8;0;0;0;30;50;0;0.8;58;449;0;0;15;48;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
144;1;Knight Powerups only 4;17620;0;0.1428571;0;0;0;30;42;0;0;10;82;0;0;111;140;0;0.1428571;0;1;0;0;0;0;0;0;0;0;1;0;0
145;1;Balanced provider tier 4;30650;0;0;0;0;0;78;78;0;0;26;135;0;0;47;448;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
146;1;Random provider tier 4;19950;0;0;0;0;0;102;86;0;0;39;268;0;0;22;33;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
147;1;No powerups;3455;1;1.787402;1;0;0;30;10;1;1;10;125;0;0;15;127;0;0.7874016;0;0;0;0;0;1;0;0;0;0;0;0;0
148;1;Ranger Powerups only 1;5474;0;0;0;0;0;66;24;0;0;10;104;0;0;15;190;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
149;1;Cleric Powerups only 1;6022;0.02564103;1;0;0;0;30;39;0.02564103;1;22;76;0;0;15;212;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
150;1;Knight Powerups only 1;16684;0;0.6857924;0;0;0;30;45;0;0.6666667;10;106;0;0;39;366;0;0.01912568;0;1;0;0;0;0;0;1;0;0;0;0;0
151;1;Balanced provider tier 1;9846;0;0.8982114;0;0;0;42;49;0;0.4081633;14;47;0;0.4255319;23;310;0;0.06451613;4;0;0;0;0;0;0;0;0;0;1;0;0
152;1;Random provider tier 1;4385;0;0.952381;0;0;0;54;42;0;0.952381;15;31;0;0;14;118;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
153;1;Ranger Powerups only 2;13721;0;0.8591549;0;0;0;102;113;0;0;10;71;0;0.8591549;15;99;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
154;1;Cleric Powerups only 2;11268;0;0.6060606;0;0;0;30;33;0;0.6060606;34;192;0;0;15;250;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
155;1;Knight Powerups only 2;14189;0;0.2185792;0;0;0;30;47;0;0;10;125;0;0;63;183;0;0.2185792;4;1;0;0;0;0;0;0;0;0;0;0;0
156;1;Balanced provider tier 2;17788;0;0.6410257;0;0;0;54;78;0;0.6410257;18;179;0;0;31;334;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
157;1;Random provider tier 2;13126;0;0.8695652;0;0;0;54;23;0;0.8695652;31;370;0;0;18;23;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
158;1;Ranger Powerups only 3;17420;0;0.4133334;0;0;0;138;90;0;0.3333333;10;125;0;0;15;250;0;0.08;0;0;0;0;0;0;0;1;0;0;1;0;0
159;1;Cleric Powerups only 3;22724;0;0;0;0;0;30;36;0;0;46;389;0;0;15;250;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
